Datum,Beograd Stari grad,Kamenicki Vis EMEP,Novi Sad Liman,Nis O.s. Sveti Sava,Kikinda
2016-01-01,,,,,35.00
2016-01-02,,,,,45.62
2016-01-03,,,,,39.07
2016-01-04,,,,,37.62
2016-01-05,,,,,24.03
2016-01-06,,,,,14.18
2016-01-07,,,,,22.73
2016-01-08,,,,,24.67
2016-01-09,,,,,26.28
2016-01-10,,,,,28.19
2016-01-11,,,,,42.09
2016-01-12,,,,,51.43
2016-01-13,,,,,37.23
2016-01-14,,,,,44.12
2016-01-15,,,,,24.22
2016-01-16,,,,,33.24
2016-01-17,,,,,58.94
2016-01-18,,,,,53.81
2016-01-19,,,,,51.32
2016-01-20,,,,,50.78
2016-01-21,,,,,34.43
2016-01-22,,,,,42.70
2016-01-23,,,,,28.04
2016-01-24,,,,,45.42
2016-01-25,,,,,36.73
2016-01-26,,,,,17.43
2016-01-27,,,,,18.19
2016-01-28,,,,,37.12
2016-01-29,,,,,15.58
2016-01-30,,,,,12.60
2016-01-31,,,,,42.58
2016-02-01,,,,,35.90
2016-02-02,,,,,36.60
2016-02-03,,,,,26.86
2016-02-04,,,,,40.40
2016-02-05,,,,,35.52
2016-02-06,,,,,48.98
2016-02-07,,,,,55.01
2016-02-08,,,,,54.92
2016-02-09,,,,,50.81
2016-02-10,,,,,50.37
2016-02-11,,,,,67.09
2016-02-12,,,,,65.22
2016-02-13,,,,,56.94
2016-02-14,,,,,51.21
2016-02-15,,,,,37.34
2016-02-16,,,,,20.58
2016-02-17,,,,,39.88
2016-02-18,,,,,49.68
2016-02-19,,,,,34.67
2016-02-20,,,,,52.61
2016-02-21,,,,,46.49
2016-02-22,,,,,60.73
2016-02-23,,,,,25.40
2016-02-24,,,,,53.57
2016-02-25,,,,,43.67
2016-02-26,,,,,30.20
2016-02-27,,,,,49.37
2016-02-28,,,,,41.60
2016-02-29,,,,,
2016-03-01,32.51,,,,
2016-03-02,44.42,,73.40,,63.53
2016-03-03,43.51,,64.24,52.33,60.46
2016-03-04,34.16,88.88,52.13,40.16,31.39
2016-03-05,,,73.90,64.24,62.17
2016-03-06,57.49,101.14,82.80,74.56,61.16
2016-03-07,38.30,94.14,85.86,42.59,65.74
2016-03-08,38.72,109.11,71.03,51.73,55.93
2016-03-09,37.98,105.80,59.96,57.27,58.77
2016-03-10,13.76,80.81,30.56,47.14,31.28
2016-03-11,8.78,71.41,31.60,36.04,17.97
2016-03-12,33.58,65.34,34.36,39.67,25.10
2016-03-13,39.78,78.98,50.36,50.79,49.01
2016-03-14,29.02,81.71,63.07,54.43,66.97
2016-03-15,1.66,88.24,59.86,65.24,50.78
2016-03-16,1.67,85.04,75.52,62.57,68.31
2016-03-17,1.66,96.46,75.44,65.32,73.54
2016-03-18,1.66,107.89,91.79,62.99,79.61
2016-03-19,1.67,106.22,71.69,68.78,56.76
2016-03-20,1.68,114.00,81.70,65.46,71.13
2016-03-21,1.67,112.11,71.16,56.24,66.10
2016-03-22,1.68,100.92,60.61,46.37,67.47
2016-03-23,,71.94,51.29,37.51,32.30
2016-03-24,,69.84,66.78,48.18,65.63
2016-03-25,,92.02,86.86,56.73,82.24
2016-03-26,,104.82,85.27,63.01,77.36
2016-03-27,,100.15,68.88,58.47,53.48
2016-03-28,,102.58,74.53,54.60,73.49
2016-03-29,,95.43,86.58,39.09,77.04
2016-03-30,,101.54,91.66,46.62,71.87
2016-03-31,,106.99,97.63,57.33,83.06
2016-04-01,,115.11,85.11,47.58,68.44
2016-04-02,,102.09,74.89,60.26,72.12
2016-04-03,,90.88,93.82,62.00,80.77
2016-04-04,,111.44,89.22,53.02,82.51
2016-04-05,,114.22,99.75,45.08,85.67
2016-04-06,,112.56,93.28,45.99,84.10
2016-04-07,,109.33,106.03,42.79,82.38
2016-04-08,61.54,103.31,69.89,60.19,56.52
2016-04-09,11.01,98.88,31.20,52.50,37.30
2016-04-10,29.27,68.64,53.83,34.12,43.29
2016-04-11,48.96,76.91,74.99,43.12,48.29
2016-04-12,70.49,114.00,101.18,54.89,91.33
2016-04-13,61.48,112.00,107.03,38.30,97.32
2016-04-14,32.20,,78.33,37.42,84.37
2016-04-15,67.29,,97.07,44.68,89.20
2016-04-16,66.82,,105.44,46.27,98.11
2016-04-17,52.01,,98.33,41.59,80.59
2016-04-18,65.56,,87.87,49.54,85.74
2016-04-19,58.20,95.56,58.54,43.01,60.88
2016-04-20,,94.07,79.00,51.17,79.04
2016-04-21,75.04,111.67,97.88,51.54,91.23
2016-04-22,67.60,115.44,96.71,51.74,95.76
2016-04-23,83.33,122.56,118.89,56.96,111.44
2016-04-24,41.48,103.96,82.11,43.47,75.69
2016-04-25,18.93,62.94,57.66,31.34,46.88
2016-04-26,69.70,103.44,88.44,51.80,84.16
2016-04-27,58.21,109.11,92.99,60.67,87.92
2016-04-28,56.72,102.74,63.24,45.28,73.18
2016-04-29,38.57,97.87,67.38,28.66,61.96
2016-04-30,64.67,76.98,82.86,42.41,76.56
2016-05-01,57.28,86.13,70.38,46.58,73.48
2016-05-02,60.43,85.87,75.39,59.63,66.40
2016-05-03,57.48,87.90,69.18,47.93,50.17
2016-05-04,44.43,89.94,68.39,44.81,65.10
2016-05-05,49.84,84.94,98.16,45.06,87.67
2016-05-06,84.37,105.87,102.00,48.98,85.71
2016-05-07,82.90,111.33,83.23,48.68,95.47
2016-05-08,,109.00,104.31,49.81,99.80
2016-05-09,107.78,111.67,125.11,48.80,100.83
2016-05-10,63.26,103.42,82.42,44.56,91.91
2016-05-11,51.06,99.57,84.70,29.18,79.22
